"syn"	"gene"
"ITI heavy chain H5::ITI-HC5::inter-alpha (globulin) inhibitor H5::inter-alpha trypsin inhibitor heavy chain precursor 5::inter-alpha-inhibitor heavy chain 5::inter-alpha-trypsin inhibitor heavy chain family, member 5::inter-alpha-trypsin inhibitor heavy chain H5::OTTHUMP00000019062::OTTHUMP00000019064::MGC10848::PP14776::DKFZp686F0145"	"ITIH5"
"ITI-like protein::ITIH5L::inter-alpha (globulin) inhibitor H5-like::inter-alpha inhibitor H5-like protein::inter-alpha-trypsin inhibitor heavy chain family, member 6::inter-alpha-trypsin inhibitor heavy chain H5-like protein::inter-alpha-trypsin inhibitor heavy chain H6::dJ14O9.1::dJ14O9.1 (Inter-Alpha-Trypsin Inhibitor Heavy Chain LIKE)::RP1-159A15.1::UNQ6369"	"ITIH6"
"MGC126257::MGC126258::PSCTK2::T-cell-specific kinase::tyrosine-protein kinase ITK/TSK::tyrosine-protein kinase LYK::kinase EMT::IL-2-inducible T cell kinase::IL-2-inducible T-cell kinase::IL2-inducible T-cell kinase::interleukin-2-inducible T cell kinase::interleukin-2-inducible T-cell kinase::homolog of mouse T-cell itk/tsk::LYK::EMT"	"ITK"
"LFR::ITLN::ITLN-1::endothelial lectin HL-1::FLJ20022::galactofuranose-binding lectin::intelectin::intelectin 1 (galactofuranose binding)::intelectin-1::intestinal lactoferrin receptor::INTL::hIntL::HL-1::HL1::omentin::OTTHUMP00000027882::UNQ640/PRO1270"	"ITLN1"
"OTTHUMP00000027883::UNQ2789/PRO7179::intelectin 2::intelectin-2::HL-2::HL2::endothelial lectin HL-2"	"ITLN2"
"E25A::BRICD2A::BRICHOS domain containing 2A::integral membrane protein 2A::OTTHUMP00000023601::RP4-696H22.1"	"ITM2A"
"FBD::imBRI2::immature BRI2::integral membrane protein 2B::OTTHUMP00000018394::BRI::BRI2::BRICD2B::BRICHOS domain containing 2B::E25B::E3-16::ABRI::ABri/ADan amyloid peptide::transmembrane protein BRI::RP11-196P14.1"	"ITM2B"
"transmembrane protein BRI3::cerebral protein 14::E25::E25C::BRI3::BRICD2C::BRICHOS domain containing 2C::ITM3::integral membrane protein 2C::integral membrane protein 3::hRPC.1050_D_4::hucep-14"	"ITM2C"
"C20orf37::dJ794I6.3::putative oncogene protein HLC14-06-P::ITPase::HLC14-06-P::inosine triphosphatase::inosine triphosphatase (nucleoside triphosphate pyrophosphatase)::inosine triphosphatase-A::inosine triphosphate pyrophosphatase::inosine triphosphate pyrophosphohydrolase::nucleoside triphosphate diphosphatase::nucleoside-triphosphate diphosphatase::OTTHUMP00000030094::non-canonical purine NTP pyrophosphatase::non-standard purine NTP pyrophosphatase::My049::My049 protein"	"ITPA"
"inositol 1,3,4-triphosphate 5/6 kinase::inositol 1,3,4-trisphosphate 5/6 kinase::inositol 1,3,4-trisphosphate 5/6-kinase::inositol-tetrakisphosphate 1-kinase::inositol-triphosphate 5/6-kinase::ins(1,3,4)P(3) 5/6-kinase::ITRPK1"	"ITPK1"
"C14orf85::ITPK1 antisense RNA 1::ITPK1-AS::ITPK1AS::NCRNA00203"	"ITPK1-AS1"
"IP3 3-kinase A::IP3-3KA::IP3K A::IP3KA::inositol 1,4,5-trisphosphate 3-kinase A::inositol-trisphosphate 3-kinase A::insP 3-kinase A::1D-myo-inositol-trisphosphate 3-kinase A"	"ITPKA"
"1D-myo-inositol-trisphosphate 3-kinase B::inositol 1,4,5-trisphosphate 3-kinase B::inositol-trisphosphate 3-kinase B::insP 3-kinase B::IP3 3-kinase::IP3 3-kinase B::IP3-3KB::IP3K::IP3K B::IP3K-B::IP3KB::proliferation-inducing protein 37::PIG37::OTTHUMP00000035705"	"ITPKB"
"IP3 3-kinase C::IP3-3KC::IP3K C::IP3KC::inositol 1,4,5-trisphosphate 3-kinase C::inositol-trisphosphate 3-kinase C::InsP 3 kinase C::insP 3-kinase C"	"ITPKC"
"IP3R::IP3R 1::IP3R1::inositol 1,4,5-triphosphate receptor, type 1::inositol 1,4,5-trisphosphate receptor type 1::inositol 1,4,5-trisphosphate receptor, type 1::INSP3R1::type 1 inositol 1,4,5-trisphosphate receptor::type 1 InsP3 receptor::SCA15::SCA16"	"ITPR1"
"type 2 inositol 1,4,5-trisphosphate receptor::type 2 InsP3 receptor::inositol 1,4,5-triphosphate receptor, type 2::inositol 1,4,5-trisphosphate receptor type 2::inositol 1,4,5-trisphosphate receptor, type 2::insP3R2::IP3R 2::IP3R2"	"ITPR2"
"IP3R::IP3R3::inositol 1,4,5-triphosphate receptor, type 3::inositol 1,4,5-trisphosphate receptor type 3::Inositol 1,4,5-trisphosphate receptor type 3 (Type 3 inositol 1,4,5-trisphosphate receptor) (Type 3 InsP3 receptor) (IP3 receptor isoform 3) (InsP3R3)::inositol 1,4,5-trisphosphate receptor, type 3::insP3R3::FLJ36205::OTTHUMP00000016213::type 3 InsP3 receptor"	"ITPR3"
"inositol 1,4,5-triphosphate receptor interacting protein::inositol 1,4,5-triphosphate receptor-interacting protein::inositol 1,4,5-trisphosphate receptor interacting protein::inositol 1,4,5-trisphosphate receptor-interacting protein::KIAA1754::RP11-127L20.4::OTTHUMP00000020437::OTTHUMP00000020438::DANGER::bA127L20::bA127L20.2"	"ITPRIP"
"KIAA1754-like::KIAA1754L::inositol 1,4,5-triphosphate receptor interacting protein-like 1::inositol 1,4,5-triphosphate receptor-interacting protein-like 1::inositol 1,4,5-trisphosphate receptor interacting protein-like 1::inositol 1,4,5-trisphosphate receptor-interacting protein-like 1"	"ITPRIPL1"
"MGC126798::MGC126800::inositol 1,4,5-triphosphate receptor interacting protein-like 2::inositol 1,4,5-triphosphate receptor-interacting protein-like 2::inositol 1,4,5-trisphosphate receptor interacting protein-like 2::inositol 1,4,5-trisphosphate receptor-interacting protein-like 2::FLJ22994::LOC162073"	"ITPRIPL2"
"human intersectin-SH3 domain-containing protein SH3P17::intersectin 1::intersectin 1 (SH3 domain protein)::intersectin 1 short form variant 11::intersectin 1 short form variant 3::intersectin 1 short form variant, 11::intersectin short variant 12::intersectin-1::ITSN::SH3 domain protein-1A::SH3 domain-containing protein 1A::SH3D1A::SH3P17::Src homology 3 domain-containing protein::MGC134948::MGC134949::OTTHUMP00000067855"	"ITSN1"
"KIAA1256::intersectin 2::intersectin-2::OTTHUMP00000116039::SH3 domain protein 1B::SH3 domain-containing protein 1B::SH3D1B::SH3P18::SH3P18-like WASP associated protein::SH3P18-like WASP-associated protein::PRO2015::SWA::SWAP"	"ITSN2"
"FLJ34849::isovaleryl CoA dehydrogenase::isovaleryl Coenzyme A dehydrogenase::isovaleryl-CoA dehydrogenase::isovaleryl-CoA dehydrogenase, mitochondrial::FLJ12715::ACAD2"	"IVD"
"involucrin::OTTHUMP00000014402"	"IVL"
"DKFZp686K06216::aryl hydrocarbon receptor-associated 3::aryl hydrocarbon receptor-associated protein 3::OTTHUMP00000033394::NS-1::NS1-binding protein::NS1-BP::NS1BP::NCX downstream gene 1::ND1::FLARA3::FLJ10069::FLJ10411::FLJ10962::HSPC068::KIAA0850::KLHL39::FLJ35593::FLJ36593::influenza virus NS1A binding protein::influenza virus NS1A-binding protein::RP4-635A23.5"	"IVNS1ABP"
"protein IWS1 homolog::MGC126375::MGC126376::FLJ32319::FLJ14655::IWS1 homolog::IWS1 homolog (S. cerevisiae)::IWS1-like protein::FLJ10006::interacts with Spt6::DKFZp761G0123"	"IWS1"
"TDH4::iodotyrosine dehalogenase 1::iodotyrosine deiodinase::IYD-1::dJ422F24.1::DEHAL1::C6orf71"	"IYD"
"MGC34799::oocyte binding/fusion factor::OBF::IZUMO::izumo sperm-egg fusion 1::izumo sperm-egg fusion protein 1::FLJ61440::sperm-specific protein Izumo"	"IZUMO1"
"IZUMO family member 2::izumo sperm-egg fusion protein 2::hypothetical protein LOC126123::C19orf41::MGC33947::OTTHUMP00000082695::PLAL6978::SCRL::PRO21961::UNQ6978/PRO21961"	"IZUMO2"
"hypothetical protein LOC69314::IZUMO family member 3::izumo sperm-egg fusion protein 3::Transmembrane protein C9orf134::RP23-434B7.1::OTTMUSP00000031159::1700011H22Rik"	"IZUMO3"
"hypothetical protein LOC113177::IMAGE:4215339::IZUMO family member 4::izumo sperm-egg fusion protein 4::sperm 22 kDa protein c113::putative SAMP14 binding protein variant 1::putative SAMP14 binding protein variant 2::UNQ831/PRO1758::C19orf36"	"IZUMO4"
"JADE1"	"JADE1"
"protein Jade-2::KIAA0239::JADE2::OTTHUMP00000159386::PHD finger protein 15"	"JADE2"
"jade3::wu:fb53c02"	"JADE3"
"MGC104644::OTTHUMP00000030278::AWS::AGS::AHD::CD339::jagged 1::JAGL1::HJ1::protein jagged-1"	"JAG1"
"SER2::protein jagged-2::jagged 2::HJ2"	"JAG2"
"FLJ14602::GL009::jagunal homolog 1::jagunal homolog 1 (Drosophila)::protein jagunal homolog 1"	"JAGN1"
"JAK1A::JAK1B::janus kinase 1::Janus kinase 1 (a protein tyrosine kinase)::JTK3::OTTHUMP00000010896::tyrosine-protein kinase JAK1"	"JAK1"
"tyrosine-protein kinase JAK2::THCYT3::JAK-2::Janus kinase 2::Janus kinase 2 (a protein tyrosine kinase)::JTK10::OTTHUMP00000021024::OTTHUMP00000043260"	"JAK2"
"tyrosine-protein kinase JAK3::JAK-3::JAK3_HUMAN::JAKL::Janus kinase 3::Janus kinase 3 (a protein tyrosine kinase, leukocyte)::leukocyte Janus kinase::L-JAK::LJAK"	"JAK3"
"multiple alpha-helices and RNA-linker protein 1::multiple coiled-coil GABABR1-binding protein::OTTHUMP00000203212::FLJ31564::GABA-B receptor-binding protein::Gababrbp::Jak and microtubule interacting protein 1::JAMIP1::janus kinase and microtubule interacting protein 1::janus kinase and microtubule-interacting protein 1::Marlin-1::MARLIN1"	"JAKMIP1"
"KIAA0555::Jak and microtubule interacting protein 2::JAMIP2::janus kinase and microtubule interacting protein 2::janus kinase and microtubule-interacting protein 2::CTCL tumor antigen HD-CL-04::neuroendocrine long coiled-coil 1::neuroendocrine long coiled-coil protein 1::NECC1"	"JAKMIP2"
"RP11-140A10.6::C10orf14::C10orf39::bA140A10.5::OTTHUMP00000210418::NECC2::neuroendocrine long coiled-coil 2::neuroendocrine long coiled-coil protein 2::Jamip3::Janus kinase and microtubule interacting protein 3::janus kinase and microtubule-interacting protein 3::FLJ37857::FLJ41432"	"JAKMIP3"
"JAM-B::JAM-IT/VE-JAM::JAMB::junctional adhesion molecule 2::junctional adhesion molecule B::OTTHUMP00000096100::PRO245::UNQ219/PRO245::vascular endothelial junction-associated molecule::VE-JAM::VEJAM::C21orf43::CD322"	"JAM2"
"UNQ859/PRO1868::FLJ14529::JAM-2::JAM-3::JAM-C::JAMC::junctional adhesion molecule 3::junctional adhesion molecule C"	"JAM3"
"JMJ::jumonji homolog::jumonji, AT rich interactive domain 2::jumonji, AT rich interactive domain 2 protein::jumonji-like protein::jumonji/ARID domain-containing protein 2::OTTHUMP00000016058::protein Jumonji"	"JARID2"
"JAZF zinc finger 1::juxtaposed with another zinc finger gene 1::juxtaposed with another zinc finger protein 1::DKFZp761K2222::tcag7.981::TAK1-interacting protein 27::TIP27::zinc finger protein 802::ZNF802"	"JAZF1"
"hypothetical LOC100128081::JAZF1 antisense RNA 1::FLJ59585"	"JAZF1-AS1"
"progesterone receptor co-activator::Jun dimerization protein 2::JUNDM2"	"JDP2"
"C14orf100::CDA06::medulloblastoma antigen MU-MB-50.4::HSPC213::HSPC327::JAMP::JNK-associated membrane protein::JNK1-associated membrane protein::JNK1/MAPK8-associated membrane protein::Jun N-terminal kinase 1-associated membrane protein"	"JKAMP"
"OTTHUMP00000060747::DKFZp761F0118::FLJ14374::jumonji domain containing 1C::jumonji domain-containing protein 1C::KIAA1380::RP11-144G16.3::RP11-10C13.2::TR-interacting protein 8::thyroid hormone receptor interactor 8::thyroid receptor interacting protein 8::thyroid receptor-interacting protein 8::TRIP-8::TRIP8::probable JmjC domain-containing histone demethylation protein 2C"	"JMJD1C"
"OTTHUMP00000035836::MGC129896::jumonji domain containing 4::jumonji domain-containing protein 4::jmjC domain-containing protein 4::FLJ12517"	"JMJD4"
"PSR::PTDSR::PTDSR1::peptide-lysine 5-dioxygenase JMJD6::phosphatidylserine receptor::lysyl-hydroxylase JMJD6::KIAA0585::jumonji domain containing 6::jumonji domain-containing protein 6::jmjC domain-containing protein 6::histone arginine demethylase JMJD6::bifunctional arginine demethylase and lysyl-hydroxylase JMJD6"	"JMJD6"
"MGC106779::Pla2g4b::jmjC domain-containing protein 7::jumonji domain containing 7::jumonji domain-containing protein 7"	"JMJD7"
"cPLA2-beta::HsT16992::FLJ42498::JMJD7-PLA2G4B protein::JMJD7-PLA2G4B read-through::JMJD7-PLA2G4B readthrough::jumonji domain containing 7-phospholipase A2, group IVB (cytosolic) read-through::OTTHUMP00000041703::PLA2G4B::phospholipase A2, group IVB (cytosolic)"	"JMJD7-PLA2G4B"
"jmjC domain-containing protein 8::jumonji domain containing 8::jumonji domain-containing protein 8::LOC339123::PP14397::C16orf20"	"JMJD8"
"WAS protein homology region 2 domain containing 1-like 3::WHDC1L3::FLJ37870::junction mediating and regulatory protein, p53 cofactor::junction-mediating and -regulatory protein::junction-mediating and regulatory protein::MGC163496"	"JMY"
"KIAA0063::Josephin domain containing 1::josephin domain-containing 1::Josephin-1::OTTHUMP00000028810::dJ508I15.2::RP3-508I15.17::RP3-508I15.17-002"	"JOSD1"
"SBBI54::FLJ29018::Josephin domain containing 2::josephin domain-containing protein 2::Josephin-2"	"JOSD2"
"mitsugumin72::DKFZp762L0313::junctophilin 1::junctophilin type 1::junctophilin type1::junctophilin-1::JP-1::JP1"	"JPH1"
"FLJ40969::JP-2::JP2::junctophilin 2::junctophilin type 2::junctophilin-2::CMH17::OTTHUMP00000031651::OTTHUMP00000031652"	"JPH2"
"trinucleotide repeat containing 22::TNRC22::CAGL237::JP-3::JP3::junctophilin 3::junctophilin type 3::junctophilin-3::FLJ44707::HDL2"	"JPH3"
"OTTHUMP00000027957::KIAA1831::junctophilin 4::junctophilin like 1::junctophilin-4::junctophilin-like 1 protein::JP-4::JP4::JPHL1::FLJ34253::hJP-4"	"JPH4"
"NCRNA00183::ENOX::LINC00183::JPX transcript, XIST activator (non-protein coding)::RP13-36G14.1"	"JPX"
"HHMJG::human homolog of mouse jerky gene protein::erky homolog-like::jerky homolog-like::jerky homolog-like (mouse)::jerky protein homolog-like::MGC129608::OTTHUMP00000207000"	"JRKL"
"2310032K21Rik::skeletal muscle sarcoplasmic reticulum protein JP-45::FLJ32416::JP-45::JP45::junctional sarcoplasmic reticulum protein 1::junctional-face membrane protein of 45 kDa homolog::homolog of mouse skeletal muscle sarcoplasmic reticulum protein JP-45"	"JSRP1"
"B PAR::hJT::HJTB::HSPC222::jumping translocation breakpoint::jumping translocation breakpoint protein::protein JTB::prostate androgen-regulated::prostate androgen-regulated protein::RP11-422P24.4::OTTHUMP00000034759::PAR"	"JTB"
"proto-oncogene c-Jun::transcription factor AP-1::v-jun avian sarcoma virus 17 oncogene homolog::v-jun sarcoma virus 17 oncogene homolog::Jun activation domain binding protein::jun oncogene::jun proto-oncogene::enhancer-binding protein AP1::activator protein 1::AP-1::AP1::c-Jun::OTTHUMP00000010036"	"JUN"
"jun B proto-oncogene::transcription factor jun-B::AP-1::activator protein 1"	"JUNB"
"activator protein 1::AP-1::jun D proto-oncogene::JunD-FL isoform::transcription factor jun-D"	"JUND"
"DP3::DPIII::CTNNG::catenin (cadherin-associated protein), gamma (80kD)::catenin (cadherin-associated protein), gamma 80kDa::ARVD12::desmoplakin III::desmoplakin-3::OTTHUMP00000164735::PKGB::PDGB::junction plakoglobin::gamma-catenin"	"JUP"
"RU2::RU2 antisense gene protein::RU2AS::OTTHUMP00000016084::MGC78738::kidney associated antigen 1::kidney-associated antigen 1"	"KAAG1"
"KAL::KALIG-1::Kallmann syndrome 1 protein::Kallmann syndrome 1 sequence::Kallmann syndrome interval gene 1::kallmann syndrome protein::Kallmann syndrome-1 sequence (anosmin-1)::KMS::HH1::HHA::anosmin-1::adhesion molecule-like X-linked::ADMLX::OTTHUMP00000022873"	"KAL1"
"CHD5::CHDS5::ARHGEF24::DUET::DUO::serine/threonine kinase with Dbl- and pleckstrin homology domains::serine/threonine-protein kinase with Dbl- and pleckstrin homology domain::TRAD::FLJ16443::FLJ18196::FLJ18623::Kalirin::kalirin, RhoGEF kinase::FLJ12332::huntingtin-associated protein interacting protein (duo)::HAPIP::hCG_2022551::OTTHUMP00000165775"	"KALRN"
"KIAA0172::kidney ankyrin repeat-containing protein::KN motif and ankyrin repeat domain-containing protein 1::KN motif and ankyrin repeat domains 1::KANK::RP11-130C19.4::DKFZp451G231::CPSQ2::ankyrin repeat domain 15::ankyrin repeat domain-containing protein 15::ANKRD15::MGC43128::OTTHUMP00000082438::OTTHUMP00000082439::OTTHUMP00000020957"	"KANK1"
"FLJ20004::KIAA1518::kidney ankyrin repeat-containing protein 2::KN motif and ankyrin repeat domain-containing protein 2::KN motif and ankyrin repeat domains 2::matrix-remodeling-associated protein 3::matrix-remodelling associated 3::MGC119707::MXRA3::SRC-1 interacting protein::SRC-1-interacting protein::SRC1-interacting protein::SIP::DKFZp434N161::ankyrin repeat domain 25::Ankyrin repeat domain-containing protein 25::ANKRD25"	"KANK2"
"ANKRD47::ankyrin repeat domain 47::ankyrin repeat domain-containing protein 47::kidney ankyrin repeat-containing protein 3::KN motif and ankyrin repeat domain-containing protein 3::KN motif and ankyrin repeat domains 3::FLJ46061"	"KANK3"
"OTTHUMP00000010526::RP5-1155K23.5::dJ1078M7.1::ANKRD38::ankyrin repeat domain 38::ankyrin repeat domain-containing protein 38::KIAA0172::kidney ankyrin repeat-containing protein 4::KN motif and ankyrin repeat domain-containing protein 4::KN motif and ankyrin repeat domains 4::FLJ10884"	"KANK4"
"hypothetical protein LOC284058::hMSL1v1::KAT8 regulatory NSL complex subunit 1::KDVS::KIAA1267::CENP-36::centromere protein 36::DKFZp686P06109::DKFZp727C091::MGC102843::MSL1 homolog 1::MSL1v1::non-specific lethal 1 homolog::NSL complex protein NSL1::NSL1::MLL1/MLL complex subunit KANSL1"	"KANSL1"
"hypothetical protein LOC644246::KANSL1 antisense RNA 1"	"KANSL1-AS1"
"hypothetical protein LOC151050::KAT8 regulatory NSL complex subunit 1-like::KAT8 regulatory NSL complex subunit 1-like protein::FLJ23861::C2orf67::MSL1v2"	"KANSL1L"
"non-specific lethal 2 homolog::NSL complex protein NSL2::NSL2::C12orf41::FLJ20436::FLJ12670::KAT8 regulatory NSL complex subunit 2::hypothetical protein LOC54934"	"KANSL2"
"serum inhibited-related protein::testis development protein PRTD::Rcd1::OTTHUMP00000207557::non-specific lethal 3 homolog::NSL complex protein NSL3::NSL3::FLJ10081::hypothetical protein LOC55683::FLJ23799::KAT8 regulatory NSL complex subunit 3::KIAA1310"	"KANSL3"
"KARS2::KRS::KIAA0070::lysine tRNA ligase::lysine--tRNA ligase::LysRS::lysyl-tRNA synthetase::CMTRIB"	"KARS"
"PCAF-b::MGC102791::general control of amino acid synthesis 5-like 2::general control of amino acid synthesis protein 5-like 2::General control of amino acid synthesis, yeast, homolog-like 2::GCN5::GCN5 (general control of amino-acid synthesis, yeast, homolog)-like 2::GCN5L2::histone acetyltransferase Gcn5::histone acetyltransferase KAT2A::hsGCN5::lysine acetyltransferase 2A::K(lysine) acetyltransferase 2A::hGCN5::STAF97"	"KAT2A"
"PCAF::P::P/CAF::p300/CBP-associated factor::K(lysine) acetyltransferase 2B::histone acetylase PCAF::histone acetyltransferase KAT2B::histone acetyltransferase PCAF::lysine acetyltransferase 2B::CREBBP-associated factor::CAF"	"KAT2B"
"ESA1::K(lysine) acetyltransferase 5::K-acetyltransferase 5::histone acetyltransferase HTATIP::histone acetyltransferase KAT5::HIV-1 Tat interactive protein, 60kDa::HTATIP::HTATIP1::lysine acetyltransferase 5::cPLA(2)-interacting protein::cPLA2::cPLA2 interacting protein::60 kDa Tat-interactive protein::TIP::TIP60::Tat interacting protein, 60kDa::PLIP"	"KAT5"
"zinc finger protein 220::ZNF220::runt-related transcription factor binding protein 2::runt-related transcription factor-binding protein 2::RUNXBP2::histone acetyltransferase KAT6A::histone acetyltransferase MYST3::K(lysine) acetyltransferase 6A::MYST histone acetyltransferase (monocytic leukemia) 3::MYST-3::MYST3::MOZ::MOZ, YBF2/SAS3, SAS2 and TIP60 protein 3::Monocytic leukemia zinc finger protein::MGC167033"	"KAT6A"
"qkf::querkopf::DKFZp313G1618::MYST histone acetyltransferase (monocytic leukemia) 4::MYST-4::MYST4::MORF::MOZ, YBF2/SAS3, SAS2 and TIP60 protein 4::MOZ-related factor::MOZ2::monocytic leukemia zinc finger protein-related factor::OTTHUMP00000019868::KIAA0383::K(lysine) acetyltransferase 6B::GTPTS::FLJ90335::histone acetyltransferase::histone acetyltransferase KAT6B::histone acetyltransferase MORF::histone acetyltransferase MOZ2::histone acetyltransferase MYST4"	"KAT6B"
"MOZ, YBF2/SAS3, SAS2 and TIP60 protein 2::MYST histone acetyltransferase 2::MYST-2::MYST2::histone acetyltransferase::histone acetyltransferase binding to ORC1::histone acetyltransferase KAT7::histone acetyltransferase MYST2::HBO1::HBOA::K(lysine) acetyltransferase 7::lysine acetyltransferase 7"	"KAT7"
"MYST histone acetyltransferase 1::MYST-1::MYST1::MOZ, YBF2/SAS3, SAS2 and TIP60 protein 1::MOF::PP7073::ortholog of Drosophila males absent on the first (MOF)::probable histone acetyltransferase MYST1::K(lysine) acetyltransferase 8::lysine acetyltransferase 8::FLJ14040::hMOF::histone acetyltransferase KAT8::histone acetyltransferase MYST1"	"KAT8"
"p60 katanin::OTTHUMP00000017392::katanin p60 (ATPase containing) subunit A 1::katanin p60 (ATPase-containing) subunit A 1::katanin p60 ATPase-containing subunit A1::katanin p60 subunit A 1::katanin p60 subunit A1"	"KATNA1"
"RP11-374F3.1::katanin p60 ATPase-containing subunit A-like 1::katanin p60 subunit A-like 1::p60 katanin-like 1::MGC2599::OTTHUMP00000018194::OTTHUMP00000042415"	"KATNAL1"
"katanin p60 ATPase-containing subunit A-like 2::katanin p60 subunit A-like 2::p60 katanin-like 2::MGC33211::DKFZp667C165"	"KATNAL2"
"KAT::katanin (80 kDa)::katanin p80 (WD repeat containing) subunit B 1::katanin p80 (WD40-containing) subunit B 1::katanin p80 subunit B 1::katanin p80 subunit B1::katanin p80 WD40-containing subunit B1::p80 katanin"	"KATNB1"
"C15orf29::uncharacterized protein C15orf29::MGC117356::FLJ22557::katanin p80 subunit B-like 1::hypothetical protein LOC79768"	"KATNBL1"
"RP11-108L7.10::RP11-108L7.10-001::bone- and odontoblast-expressed gene 1::BONO1::bA108L7.1::Kazal-type serine peptidase inhibitor domain 1::Kazal-type serine protease inhibitor domain 1::kazal-type serine protease inhibitor domain-containing protein 1::FKSG28::FKSG40::IGFBP-related protein 10::IGFBP-rP10::FLJ24094::OTTHUMP00000020298::novel kazal-type serine protease inhibitor domain and immunoglobulin domain containing protein"	"KAZALD1"
"DKFZp686D08115::OTTHUMP00000002028::MGC142181::MGC126686::RP1-21O18.1::FLJ32593::FLJ43398::FLJ43806::KIAA1026::KAZ::kazrin::kazrin, periplakin interacting protein::FLJ10199"	"KAZN"
"KIAA0711::kelch repeat and BTB (POZ) domain containing 11::kelch repeat and BTB domain-containing protein 11::KLHDC7C::chronic myelogenous leukemia-associated protein"	"KBTBD11"
"DKFZp779E2271::OTTHUMP00000197689::FLJ46299::kelch domain containing 6::kelch domain-containing protein 6::kelch repeat and BTB (POZ) domain containing 12::kelch repeat and BTB domain-containing protein 12::KLHDC6"	"KBTBD12"
"LOC390594::hypothetical protein LOC390594::hCG_1645727::HCG1645727::kelch repeat and BTB (POZ) domain containing 13::kelch repeat and BTB domain-containing protein 13::NEM6"	"KBTBD13"
"kelch repeat and BTB (POZ) domain containing 2::kelch repeat and BTB domain-containing protein 2::BTB and kelch domain containing 1::BTB and kelch domain-containing protein 1::CGI-73::BKLHD1"	"KBTBD2"
"FLJ30685::kelch repeat and BTB (POZ) domain containing 3::kelch repeat and BTB domain-containing protein 3::BKLHD3::BTB and kelch domain containing 3::BTB and kelch domain-containing protein 3"	"KBTBD3"
"FLJ10450::HSPC252::kelch repeat and BTB (POZ) domain containing 4::kelch repeat and BTB domain-containing protein 4::BTB and kelch domain containing 4::BTB and kelch domain-containing protein 4::BKLHD4"	"KBTBD4"
"OTTHUMP00000018312::FLJ58260::kelch repeat and BTB (POZ) domain containing 6::kelch repeat and BTB (POZ) domain-containing 6::kelch repeat and BTB domain-containing protein 6::DKFZp547E1912::DKFZp547M073"	"KBTBD6"
"DKFZp434E2318::kelch repeat and BTB (POZ) domain containing 7::kelch repeat and BTB domain-containing protein 7::OTTHUMP00000018313"	"KBTBD7"
"T-cell activation kelch repeat protein::TA-KRP::KIAA1842::kelch repeat and BTB (POZ) domain containing 8::Kelch repeat and BTB domain-containing protein 8::FLJ57592"	"KBTBD8"
"zinc finger, ZZ domain containing 1::ZZZ1::ZZ-type zinc finger-containing protein 1::FIGC::FGF-induced in gastric cancer::FGF-induced ubiquitin-protein ligase in gastric cancers::potassium channel modulatory factor 1::PCMF::DKFZp434L1021::differentially expressed in branching tubulogenesis 91::DEBT91::E3 ubiquitin-protein ligase KCMF1"	"KCMF1"
"EA1::AEMK::HBK1::KV1.1::HUK1::MGC126782::MGC138385::MBK1::potassium voltage-gated channel subfamily A member 1::potassium voltage-gated channel, shaker-related subfamily, member 1 (episodic ataxia with myokymia)::MK1::RBK1::voltage-gated K(+) channel HuKI::voltage-gated potassium channel HBK1::voltage-gated potassium channel subunit Kv1.1"	"KCNA1"
"voltage-gated potassium channel subunit Kv1.8::Kv1.8::Kcn1::cyclic GMP gated potassium channel::potassium voltage-gated channel subfamily A member 10::potassium voltage-gated channel, shaker-related subfamily, member 10::OTTHUMP00000024387"	"KCNA10"
"voltage-gated K(+) channel HuKIV::voltage-gated potassium channel HBK5::voltage-gated potassium channel protein Kv1.2::voltage-gated potassium channel subunit Kv1.2::RBK2::RP11-284N8.1::HUKIV::HK4::KV1.2::HBK5::MK2::MGC50217::NGK1::potassium channel::potassium voltage-gated channel subfamily A member 2::potassium voltage-gated channel, shaker-related subfamily, member 2"	"KCNA2"
"potassium channel 3::potassium voltage-gated channel subfamily A member 3::potassium voltage-gated channel, shaker-related subfamily, member 3::OTTHUMP00000032397::MK3::PCN3::voltage-gated K(+) channel HuKIII::voltage-gated potassium channel protein Kv1.3::voltage-gated potassium channel subunit Kv1.3::type n potassium channel::HGK5::KV1.3::HLK3::HUKIII::HPCN3"	"KCNA3"
"HPCN2::HK1::HUKII::fetal skeletal muscle potassium channel::KV1.4::KCNA4L::KCNA8::HBK4::PCN2::potassium channel 2::potassium voltage-gated channel subfamily A member 4::potassium voltage-gated channel, shaker-related subfamily, member 4::potassium voltage-gated channel, shaker-related subfamily, member 4-like::cardiac potassium channel::type A potassium channel::voltage-gated K(+) channel HuKII::voltage-gated potassium channel HBK4::voltage-gated potassium channel HK1::voltage-gated potassium channel subunit Kv1.4::shaker-related potassium channel Kv1.4::rapidly inactivating potassium channel"	"KCNA4"
"voltage-gated potassium channel HK2::voltage-gated potassium channel protein Kv1.5::voltage-gated potassium channel subunit Kv1.5::potassium channel 1::potassium channel protein::potassium voltage-gated channel subfamily A member 5::potassium voltage-gated channel, shaker-related subfamily, member 5::PCN1::MGC117058::MGC117059::HCK1::HPCN1::HK2::KV1.5::insulinoma and islet potassium channel::cardiac potassium channel::ATFB7"	"KCNA5"
